Accession,Description,Genome Length (KB),molGC (%),Genus,Sub-family,Family,Host,Genome composition,Phage Species
LC727700,Pseudomonas phage sp. LP,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4867
LN610580,Pseudomonas phage vB_PaeP_PAO1_1-15pyo,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MG845683,Pseudomonas phage phiNV3,43,58,Kirikabuvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5024
MG897800,Pseudomonas phage vB_PaeS_C1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
MH979674,Pseudomonas phage RLP,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
MK165657,Pseudomonas phage vB_PaeS_SCUT-S3,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5246
MK165658,Pseudomonas phage vB_PaeS_SCUT-S4,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
MK574078,Pseudomonas phage KP1,43,47,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4911
MN562749,Pseudomonas phage U47,43,52,Bruynoghevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4009
MN602045,Pseudomonas phage vB_PaeP_ASP23,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4997
MN615698,Pseudomonas phage vB_PaeP_SPCB,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MN692672,Pseudomonas phage vB_PaeP_Lx18,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4997
MN871458,Pseudomonas phage Pa-G,43,55,Pbunavirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_1838
MN871483,Pseudomonas phage PaSz-8_45_42k,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
AP019415,Pseudomonas phage HU1,43,56,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5272
MT108724,Pseudomonas phage Epa2,43,52,Bruynoghevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4009
MT118304,Pseudomonas phage Epa40,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4995
MT118305,Pseudomonas phage Epa41,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4995
JX676771,Pseudomonas phage AF,43,58,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5218
KX198612,Pseudomonas phage MD8,43,61,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4989
MW406975,Pseudomonas phage MYY9,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
MW406976,Pseudomonas phage HX1,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
MW627366,Pseudomonas phage phiGM22-3,43,59,Tunggulvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5230
MG251388,Pseudomonas phage Psp6,43,57,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5180
MZ553931,Pseudomonas phage vB_PaeA_55_1W,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4867
MZ687409,Pseudomonas phage vB_Pae_QDWS,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
MZ927745,Pseudomonas phage Kaya,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5084
MZ927746,Pseudomonas phage Guyu,43,55,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
NC_005045,Pseudomonas phage phiKMV,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_007806,Pseudomonas phage 73,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_007807,Pseudomonas phage 119X,43,45,Jamesmcgillvirus,Unclassified,Fredfastierviridae,Pseudomonas,dsDNA,vOTU_4785
NC_009935,Pseudomonas phage LKD16,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5018
NC_011105,Pseudomonas phage PT5,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_011107,Pseudomonas phage PT2,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_012418,Pseudomonas phage phikF77,43,63,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5034
NC_013638,Pseudomonas phage phi-2,43,59,Tunggulvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5039
NC_017864,Pseudomonas phage vB_Pae-Kakheti25,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_017865,Pseudomonas phage vB_Pae-TbilisiM32,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_022091,Pseudomonas phage MPK7,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
NC_022746,Pseudomonas phage MPK6,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
NC_024381,Pseudomonas phage vB_PaeS_SCH_Ab26,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_027375,Pseudomonas phage vB_PaeP_PPA-ABTNL,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
NC_028836,Pseudomonas phage DL62,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4867
NC_028879,Pseudomonas phage PaMx42,43,55,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
NC_047933,Pseudomonas phage phiNV3,43,58,Kirikabuvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5024
NC_047952,Pseudomonas phage PAXYB1,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
NC_047967,Pseudomonas phage vB_PaeP_PAO1_1-15pyo,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_048168,Pseudomonas phage RLP,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
MK510968,Pseudomonas phage vB_Pae_CF55b,43,61,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5282
NC_055711,Pseudomonas phage PaMx41,43,45,Jamesmcgillvirus,Unclassified,Fredfastierviridae,Pseudomonas,dsDNA,vOTU_4785
NC_069740,Pseudomonas phage KP1,43,47,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4911
NC_069741,Pseudomonas phage Kaya,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5084
NC_069743,Pseudomonas phage Guyu,43,55,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
NC_069746,Pseudomonas phage Kopi,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5172
NC_069747,Pseudomonas phage Epa40,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4995
NC_069748,Pseudomonas phage TehO,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_069749,Pseudomonas phage vB_PaeS_C1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_069750,Pseudomonas phage BUCT-PX-5,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_069755,Pseudomonas phage PSV3,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
NC_072809,Pseudomonas phage vB_PaeS_SCUT-S3,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5246
NC_072810,Pseudomonas phage UF_RH1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OK094665,Pseudomonas phage vB_Pae_W3,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OK330455,Pseudomonas phage Kopi,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5172
OK330456,Pseudomonas phage TehO,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OK539824,Pseudomonas phage phipa2,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
OK539825,Pseudomonas phage phipa4,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OL754589,Pseudomonas phage L5,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
OL802210,Pseudomonas phage vB_Pae_S1,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
OL802211,Pseudomonas phage vB_Pae_TR,43,55,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
OM234791,Pseudomonas phage PA02_HSun-2022,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OM234793,Pseudomonas phage PA28,43,41,Novosibovirus,Slopekvirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5147
ON857926,Pseudomonas phage vB_PaeM_FBPa3,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
ON857941,Pseudomonas phage vB_PaeP_FBPa48,43,45,Jamesmcgillvirus,Unclassified,Fredfastierviridae,Pseudomonas,dsDNA,vOTU_4785
NC_019923,Pseudomonas phage AF,43,58,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5218
NC_031091,Pseudomonas phage MD8,43,61,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4989
OP292288,Pseudomonas phage PNM,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
OP422637,Pseudomonas phage BUCT-PX-5,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OP556577,Pseudomonas phage vB PaM SEMA,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5212
OP712466,Pseudomonas phage PSV3,43,53,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OQ259603,Pseudomonas phage UF_RH1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OQ319036,Pseudomonas phage UF_RH5,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OQ319930,Pseudomonas phage 20Aug401,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4867
OQ319931,Pseudomonas phage 20Aug470,43,45,Jamesmcgillvirus,Unclassified,Fredfastierviridae,Pseudomonas,dsDNA,vOTU_4785
OQ412632,Pseudomonas phage PSA-KC1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OQ412633,Pseudomonas phage JB10,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5111
OR208619,Pseudomonas phage vB_PaeA_SB,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5055
OR238910,Pseudomonas phage PA69,43,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4997
OR604635,Pseudomonas phage UF_RH9,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OR714918,Pseudomonas phage vB_PaeS_PA16b,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OR733342,Pseudomonas phage vB_PaeS_PA16c,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OP795451,Pseudomonas phage PseuP_224,43,59,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5025
OR941786,Pseudomonas phage PJNP013,43,63,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4959
OQ594956,Pseudomonas phage vB_Pae_LESphi3,43,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5174
PP408248,Pseudomonas phage vB_Pa-PAC1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
OR594342,Pseudomonas phage vB_PaPhi_Mx1,43,63,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5222
PP179320,Pseudomonas phage Drael01,43,56,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4789
PP715504,Pseudomonas phage vB_PaeM_HZ_ZJUX1,43,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
PP836134,Pseudomonas phage GEC_K2,43,54,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4024
AM265639,Pseudomonas phage LKA1,42,61,Stubburvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5625
MT104470,Pseudomonas phage MR7,42,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT354570,Pseudomonas phage phiB1_1,42,57,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5498
MZ868714,Pseudomonas phage pphageB21,42,57,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5498
MZ868715,Pseudomonas phage pphageT21,42,57,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5498
MZ868716,Pseudomonas phage pphageT12,42,57,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5498
PP496450,Pseudomonas phage vB_PpuP-Laguja-2,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496451,Pseudomonas phage vB_PpuP-Hammaste-2,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496452,Pseudomonas phage vB_PpuP-Ihaste,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496453,Pseudomonas phage vB_PpuP-Illi-1,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496454,Pseudomonas phage vB_PpuP-Kaagvere,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496455,Pseudomonas phage vB_PpuP-Kadastiku,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496456,Pseudomonas phage vB_PpuP-KiKu,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496457,Pseudomonas phage vB_PpuP-Konnatiik,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496458,Pseudomonas phage vB_PpuP-Kurenuki,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496459,Pseudomonas phage vB_PpuP-Laguja-5,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496460,Pseudomonas phage vB_PpuP-Luutsna-1,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496461,Pseudomonas phage vB_PpuP-Luutsna-3,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496462,Pseudomonas phage vB_PpuP-Luutsna-6,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496463,Pseudomonas phage vB_PpuP-Mora-3,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496464,Pseudomonas phage vB_PpuP-Mora-5,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496465,Pseudomonas phage vB_PpuP-Paidla,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496466,Pseudomonas phage vB_PpuP-Pori-2,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496467,Pseudomonas phage vB_PpuP-SaviPeeda,42,58,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496468,Pseudomonas phage vB_PpuP-Villemi,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496469,Pseudomonas phage vB_PpuP-Kompost-1,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496470,Pseudomonas phage vB_PpuP-SKa-3,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
PP496471,Pseudomonas phage vB_PpuP-BotAed,42,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
KU743887,Pseudomonas phage phiNFS,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
LC552830,Pseudomonas phage vB_PaeS-Yazdi-M,42,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
MG775261,Pseudomonas phage PollyC,42,58,Pollyceevirus,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5603
MN553585,Pseudomonas phage 4phiC20-1,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MN553587,Pseudomonas phage phiKMVC5-121,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MN553588,Pseudomonas phage phiKMVC5-12,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MN553589,Pseudomonas phage phiKMVC5-121,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
MN615699,Pseudomonas phage vB_PaeP_SPCG,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
BK061476,Pseudomonas phage vB_PaeS-D14B,42,61,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5623
MT597419,Pseudomonas phage vB_PsyP_3MF5,42,57,Warsawvirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5617
KT887558,Pseudomonas phage phi2,42,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5509
MW512832,Pseudomonas phage AUS260,42,55,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
NC_009936,Pseudomonas phage LKA1,42,61,Stubburvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5625
NC_042104,Pseudomonas phage PollyC,42,58,Pollyceevirus,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5603
NC_047852,Pseudomonas phage phiNFS,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5053
NC_054890,Pseudomonas phage vB_PsyP_3MF5,42,57,Warsawvirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5617
MK511007,Pseudomonas phage vB_Pae_CF121b,42,59,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_3011
MK511013,Pseudomonas phage vB_Pae_BR161a,42,59,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_3011
NC_069742,Pseudomonas phage vB_PaeS-Yazdi-M,42,54,Septimatrevirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4765
NC_070881,Pseudomonas phage UFJF_PfDIW6,42,58,Purivirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5341
OM256450,Pseudomonas phage P421,42,56,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5571
OM418631,Pseudomonas phage UFJF_PfDIW6,42,58,Purivirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5341
ON857935,Pseudomonas phage vB_PaeP_FBPa25,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_4246
NC_030931,Pseudomonas phage phi2,42,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5509
OQ230793,Pseudomonas phage vB_PaeP_P1G,42,62,Phikmvvirus,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5449
OQ594955,Pseudomonas phage vB_Pae_LESphi2,42,61,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5415
OR188718,Pseudomonas phage LPPA56,42,65,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5325
OR188719,Pseudomonas phage LPPA36,42,63,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5608
PP179330,Pseudomonas phage Ghuch01,42,56,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5572
PP496475,Pseudomonas phage vB_PpuP-Kompost-2,42,56,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5463
OR683412,Pseudomonas phage Turba,42,64,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5422
PP179331,Pseudomonas phage Lepni01,42,57,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5496
PP813862,Pseudomonas phage vB_PaeP_FBPa22,42,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_4246
PQ015601,Pseudomonas phage MKPT02,42,59,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5311
AB775549,Pseudomonas phage PPpW-4,41,57,Phutvirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5699
MT104468,Pseudomonas phage MR5,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT104469,Pseudomonas phage MR6,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT104471,Pseudomonas phage MR8,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT104472,Pseudomonas phage MR12,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT104477,Pseudomonas phage MR18,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5169
MT711889,Pseudomonas phage Waldo5,41,58,Unclassified,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5780
MT711890,Pseudomonas phage PlaquesPlease,41,58,Unclassified,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5675
MW286266,Pseudomonas phage Bertil,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5704
MW286267,Pseudomonas phage Misse,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5704
MW286268,Pseudomonas phage Strit,41,58,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5704
MZ868717,Pseudomonas phage pphageBV72,41,57,Unclassified,Krylovirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5498
OM131411,Pseudomonas phage Pf17397_F_PD1,41,56,Unclassified,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5953
OQ622254,Pseudomonas phage vB_PaeM-G11,41,54,Unclassified,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5939
PP496449,Pseudomonas phage vB_PpuP-Vanda,41,57,Unclassified,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_5387
GU583987,Pseudomonas phage phiIBB-PF7A,41,56,Pifdecavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5867
KR091952,Pseudomonas phage phiPsa17,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
KU064779,Pseudomonas phage PPPL-1,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5803
KX066068,Pseudomonas phage VSW-3,41,58,Napahaivirus,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_6036
MG775258,Pseudomonas phage Henninger,41,58,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5887
MH179472,Pseudomonas phage 22PfluR64PP,41,56,Pifdecavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5931
MH179475,Pseudomonas phage 71PfluR64PP,41,56,Pifdecavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5931
MH179478,Pseudomonas phage 67PfluR64PP,41,56,Pifdecavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5931
MH268168,Pseudomonas phage PFP1,41,56,Pifdecavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5891
MN729595,Pseudomonas phage CHF1,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN729596,Pseudomonas phage CHF7,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN729597,Pseudomonas phage CHF19,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN729598,Pseudomonas phage CHF21,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN729599,Pseudomonas phage CHF33,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN729600,Pseudomonas phage CHF17,41,57,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5767
MN871468,Pseudomonas phage Pa-Q,41,56,Pbunavirus,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_1838
BK061478,Pseudomonas phage vB_PaeS-D14E,41,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5787
BK061587,Pseudomonas phage vB_PaeS-D14L,41,62,Unclassified,Unclassified,Unclassified,Pseudomonas,dsDNA,vOTU_5856
MT094430,Pseudomonas phage BIM BV-45,41,58,Bifseptvirus,Unclassified,Autographiviridae,Pseudomonas,dsDNA,vOTU_6029
MT104466,Pseudomonas phage MR2,41,58,Ghunavirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5861
MT711887,Pseudomonas phage Stalingrad,41,58,Troedvirus,Studiervirinae,Autographiviridae,Pseudomonas,dsDNA,vOTU_5974
